"V1" "geneID" "pSex" "meanM" "meanF" "sexbias" "bias" "pSex_MA" "meanM_MA" "meanF_MA" "sexbias_MA" "bias_MA" "pSex_BH" "pSex_BH_MA" "meandifdif" "meandifdiv" "meandifdiffoSexBiasmales" "meandifdiffoSexBiasfemales" "meandifdifmoSexBiase" "deltaM_M" "deltaM_F" "CHROM" "CHROM_SH"
"33" 33 "LOC110184783" 7.44328727145861e-06 5.54394169657023 7.19038999154961 -1.64644829497937 "F" 2.85473240065514e-152 5.99041442055663 7.35103472324655 -1.36062030268992 "F" 5.07035520677154e-05 9.76449647749012e-152 -0.28582799228945 0.826397225372309 0.4464727239864 0.16064473169694 0.28582799228946 0.28761944661053 0.0797913861843651 "2R" "Auto"
"34" 34 "LOC110191336" 7.1873680844465e-07 8.38743629249875 6.95392123667483 1.43351505582392 "M" 2.82478887781849e-305 8.35350885696295 7.00143264728744 1.3520762096755 "M" 2.37105663013577e-05 4.84574109453602e-303 -0.0814388461484201 0.943189402987042 -0.0339274355357997 0.0475114106126098 -0.0814388461484095 -0.0144465374641621 0.0244011405300137 "2R" "Auto"
"35" 35 "LOC110177794" 3.33053149677595e-05 5.28657735080478 3.67359161380072 1.61298573700407 "M" 3.97009063025367e-203 5.13460258076049 3.58121436375079 1.55338821700969 "M" 0.000117536780147849 3.18050610795246e-202 -0.0595975199943801 0.96305142777947 -0.151974770044291 -0.09237725004993 -0.0595975199943606 -0.102668891393378 -0.0898082271689927 "2R" "Auto"
"36" 36 "LOC110176222" 0.59118942401409 5.04626104787786 4.99656208691903 0.0496989609588327 "U" 3.67629181130047e-25 4.97194401895151 4.74164771968173 0.230296299269785 "U" 0.602722964456742 4.32398549455537e-25 0.180597338310952 4.63382523148818 -0.0743170289263499 -0.2549143672373 0.18059733831095 -0.0525969540483578 -0.182206973231129 "2R" "Auto"
"37" 37 "LOC110182312" 0.000204078143060198 4.61570453267617 5.59756266893445 -0.981858136258278 "U" 3.97445802410892e-182 4.75313796201766 5.65906151231753 -0.905923550299868 "U" 0.000418824610373998 2.15549472633976e-181 -0.07593458595841 0.922662365209107 0.13743342934149 0.0614988433830801 0.07593458595841 0.106339925518374 0.0392382791151409 "2R" "Auto"
"38" 38 "LOC110182286" 5.84201798941244e-05 8.95565804298407 7.75185939418909 1.20379864879498 "M" 2.40519387066018e-230 9.08421738508365 7.39375236338038 1.69046502170327 "M" 0.000169819901153301 3.17912643775201e-229 0.48666637290829 1.40427556003278 0.12855934209958 -0.35810703080871 0.48666637290829 0.05126820444626 -0.164986697568122 "2R" "Auto"
"39" 39 "LOC110180496" 1.9987316363858e-06 7.81998842535235 6.45068638813803 1.36930203721432 "M" 2.5880301556459e-183 7.95594041575735 6.96722024688865 0.98872016886869 "U" 2.93159690385137e-05 1.44020775445711e-182 -0.38058186834563 0.722061416690887 0.135951990405 0.51653385875062 -0.38058186834562 0.0620899669494234 0.28597945555755 "2R" "Auto"
"40" 40 "LOC110180569" 0.000331290571746291 5.98794379297287 4.02054379860625 1.96739999436662 "M" 5.45004532867027e-53 5.75813475735418 4.97933230146778 0.778802455886397 "U" 0.000611546608652346 7.35150558778412e-53 -1.18859753848022 0.395853643446371 -0.22980903561869 0.95878850286153 -1.18859753848022 -0.137066509666343 0.851686942016135 "2R" "Auto"
"41" 41 "LOC110191322" 0.0002639944368785 4.39584489673031 5.24991730366048 -0.854072406930174 "U" 4.00855699093153e-181 4.51694381878094 5.30961202129451 -0.792668202513567 "U" 0.000511586468911651 2.12720398220852e-180 -0.0614042044166071 0.928104217021465 0.12109892205063 0.0596947176340299 0.0614042044166005 0.0983874909923504 0.0406092911164307 "2R" "Auto"
"42" 42 "LOC110191327" 7.52141711248247e-05 7.45116065984399 4.92463150792087 2.52652915192312 "M" 1.91727088010421e-102 7.64438370750695 5.73103631497491 1.91334739253205 "M" 0.000201464706159536 3.64295316997407e-102 -0.61318175939107 0.757302717475342 0.19322304766296 0.80640480705404 -0.61318175939108 0.0926140697517117 0.584818816071389 "2R" "Auto"
"43" 43 "LOC110177414" 3.00827535328142e-05 8.61513750462221 6.80850600666575 1.80663149795646 "M" 9.98081247956405e-114 8.85111515736175 7.75972631480749 1.09138884255427 "M" 0.000110256854680649 2.12058673333979e-113 -0.71524265540219 0.604101524737488 0.235977652739541 0.95122030814174 -0.715242655402199 0.0978251746719628 0.498966349283457 "2R" "Auto"
"44" 44 "LOC110176308" 0.00227160425638756 3.73433063776802 1.65779535217205 2.07653528559598 "M" 1.37323505339172e-122 3.36591032525119 2.05330005201926 1.31261027323194 "M" 0.00308258455497063 3.21262905612632e-122 -0.76392501236404 0.632115564005555 -0.36842031251683 0.39550469984721 -0.76392501236404 -0.352348776273246 0.852045328344009 "2R" "Auto"
"45" 45 "LOC110178699" 1.09824935508362e-05 6.61962772091093 4.6553390126584 1.96428870825253 "M" 9.43079992928946e-94 6.13165457596218 4.95759931280391 1.17405526315827 "M" 6.18452567209078e-05 1.65154110612568e-93 -0.79023344509426 0.597699950229176 -0.48797314494875 0.30226030014551 -0.79023344509426 -0.263271788903561 0.231884524201774 "2R" "Auto"
"46" 46 "LOC110179006" 9.51775986478621e-05 5.69074651790505 3.47449234287481 2.21625417503024 "M" 7.95555400744081e-118 6.11857058197937 4.24826079835049 1.87030978362888 "M" 0.000237147594231222 1.76439788287564e-117 -0.34594439140136 0.843905814008612 0.427824064074319 0.77376845547568 -0.34594439140136 0.268496071854945 0.79535612597422 "2R" "Auto"
"47" 47 "LOC110178601" 0.000165149339270164 9.29867629168012 8.04841580681645 1.25026048486368 "M" 5.18403318533382e-63 9.56191877999008 8.73385819382738 0.8280605861627 "U" 0.000357529063424105 7.37332477748183e-63 -0.42219989870098 0.662310451452032 0.26324248830996 0.68544238701093 -0.422199898700971 0.101105976213553 0.304160294870171 "2R" "Auto"
"48" 48 "LOC110179292" 2.00624378611164e-05 8.21581256858416 6.53164404864664 1.68416851993753 "M" 4.03959779814846e-101 7.59401442161097 6.59423200262832 0.999782418982655 "U" 8.69164083187986e-05 7.56083164734096e-101 -0.684386100954875 0.59363561730731 -0.621798146973191 0.06258795398168 -0.684386100954871 -0.270296778221669 0.0342223803704894 "2R" "Auto"
